City,lat,lng,Administration,Status,Population
Sor Fron,61.5689,9.9233,Oppland,minor,3119
Tingvoll,62.9,8.2,More og Romsdal,minor,3103
Asgardstrand,59.35,10.4667,Vestfold,,3095
Store Skanland,68.5836,16.573,Troms,,3041
Askvoll,61.4058,5.2422,Sogn og Fjordane,minor,3011
Brevik,59.0589,9.6875,Telemark,,3000
Skjervoy,70.0853,20.6594,Troms,minor,2927
Kautokeino,69.0115,23.0415,Finnmark,minor,2910
Seljord,59.5133,8.6489,Telemark,minor,2888
Orkanger,63.3122,9.8533,Sor Trondelag,minor,2874
Austrheim,60.7711,4.9261,Hordaland,minor,2870
Tysnes,59.9983,5.5772,Hordaland,,2869
Hurdal,60.4158,11.0086,Akershus,minor,2854
Naustdal,61.5606,5.8553,Sogn og Fjordane,minor,2840
Dale,61.3061,5.4633,Sogn og Fjordane,minor,2802
Bjerkreim,58.6569,6.1467,Rogaland,,2787
Selje,62.1372,5.2231,Sogn og Fjordane,minor,2774
Flesberg,59.8478,9.4822,Buskerud,,2688
Karasjok,69.4722,25.5189,Finnmark,minor,2628
Frosta,63.6039,10.7744,Nord Trondelag,minor,2627
Rorvik,64.868,11.2053,Nord Trondelag,minor,2615
Steigen,67.7983,15.1719,Nordland,,2608
Tvedestrand,58.6219,8.9314,Aust Agder,minor,2592
Hjelmeland,59.2172,6.4611,Rogaland,minor,2574
Bo,68.6953,14.5794,Nordland,,2569
Ballangen,68.3064,16.7442,Nordland,minor,2556
Dovre,62.035,9.4675,Oppland,minor,2553
Hemsedal,60.9058,8.5147,Buskerud,minor,2486
Brattvag,62.6,6.4433,More og Romsdal,minor,2481
Honningsvag,70.9758,25.9831,Finnmark,minor,2465
Alvdal,62.1094,10.6344,Hedmark,minor,2432
Meraker,63.4381,11.8494,Nord Trondelag,minor,2422
Andalsnes,62.5672,7.6869,More og Romsdal,minor,2416
Grong,64.5314,12.62,Nord Trondelag,minor,2359
Siljan,59.2975,9.7064,Telemark,minor,2340
Orskog,62.4789,6.8853,More og Romsdal,minor,2310
